"SalePrice","BsmtFinSF1","GarageCars","YearBuilt","OpenPorchSF","WoodDeckSF","YearRemodAdd","HouseStyle","BsmtFinType2","Foundation","RoofStyle","Exterior1st","LandSlope"
223500,486,2,2001,42,0,2002,"2Story","Unf","PConc","Gable","VinylSd","Gtl"
140000,216,3,1915,35,0,1970,"2Story","Unf","BrkTil","Gable","Wd Sdng","Gtl"
250000,655,3,2000,84,192,2000,"2Story","Unf","PConc","Gable","VinylSd","Gtl"
2e+05,859,2,1973,204,235,1973,"2Story","Other","CBlock","Gable","HdBoard","Gtl"
129500,906,1,1965,0,0,1965,"1Story","Unf","CBlock","Hip","HdBoard","Gtl"
345000,998,3,2005,21,147,2006,"2Story","Unf","PConc","Hip","Other","Gtl"
144000,737,1,1962,0,140,1962,"1Story","Unf","CBlock","Hip","HdBoard","Gtl"
157000,733,1,1960,213,0,1960,"1Story","Unf","CBlock","Hip","MetalSd","Gtl"
132000,0,2,1929,112,48,2001,"Other","Unf","BrkTil","Gable","Wd Sdng","Gtl"
149000,578,2,1970,0,0,1970,"1Story","Unf","CBlock","Gable","Wd Sdng","Gtl"
90000,0,2,1967,0,0,1967,"1Story","Other","Other","Gable","MetalSd","Gtl"
159000,646,2,2004,102,0,2004,"1Story","Unf","PConc","Gable","VinylSd","Gtl"
325300,0,3,2005,154,240,2006,"2Story","Unf","PConc","Gable","VinylSd","Gtl"
139400,0,1,1930,0,0,1950,"Other","Unf","PConc","Gable","Wd Sdng","Gtl"
230000,0,2,2002,159,171,2002,"1Story","Unf","PConc","Hip","VinylSd","Gtl"
129900,840,2,1976,110,100,1976,"1Story","Unf","PConc","Gable","CemntBd","Gtl"
154000,188,1,1968,90,406,2001,"1Story","Other","CBlock","Gable","Plywood","Gtl"
306000,1218,3,2007,50,0,2008,"1Story","Unf","PConc","Gable","VinylSd","Gtl"
207500,1277,1,1957,258,288,1997,"1Story","Unf","CBlock","Gable","MetalSd","Gtl"
40000,0,1,1920,54,0,1950,"2Story","Unf","BrkTil","Other","BrkFace","Gtl"
149350,0,1,1966,65,0,2006,"1Story","Unf","CBlock","Gable","HdBoard","Gtl"
179900,0,2,2007,30,0,2007,"1Story","Unf","PConc","Gable","VinylSd","Gtl"
165500,1018,2,1959,38,0,1959,"1Story","Unf","CBlock","Hip","BrkFace","Gtl"
309000,0,3,2004,32,113,2005,"2Story","Unf","PConc","Gable","VinylSd","Gtl"
144000,747,2,1983,0,240,1983,"Other","Other","CBlock","Gable","HdBoard","Gtl"
130250,280,1,1975,0,145,1980,"1Story","Other","CBlock","Hip","VinylSd","Gtl"
319900,456,2,2005,82,196,2005,"1Story","Unf","PConc","Hip","MetalSd","Gtl"
239686,1351,2,2003,43,168,2003,"1.5Fin","Unf","PConc","Gable","VinylSd","Gtl"
249700,24,3,2006,146,0,2006,"1Story","Unf","PConc","Gable","VinylSd","Gtl"
127000,763,1,1966,0,0,1966,"1Story","Unf","CBlock","Gable","HdBoard","Gtl"
385000,1810,3,1981,72,857,1987,"1Story","Unf","CBlock","Gable","Other","Gtl"
130000,384,2,1955,50,0,1955,"SLvl","Unf","CBlock","Gable","MetalSd","ModOrSev"
180500,490,2,1964,0,0,1964,"1Story","Unf","CBlock","Gable","HdBoard","Gtl"
172500,649,2,1999,0,115,2000,"2Story","Unf","PConc","Gable","MetalSd","Gtl"
196500,0,2,2004,70,0,2004,"2Story","Unf","PConc","Gable","VinylSd","Gtl"
438780,0,3,2006,0,192,2006,"2Story","Unf","PConc","Hip","VinylSd","Gtl"
124900,632,1,1972,0,196,1972,"1Story","Unf","CBlock","Gable","HdBoard","Gtl"
158000,941,2,2004,50,0,2004,"1Story","Unf","PConc","Gable","VinylSd","Gtl"
101000,0,1,1920,0,0,1996,"Other","Unf","BrkTil","Gable","MetalSd","Gtl"
202500,24,2,2006,49,120,2006,"1Story","Unf","PConc","Gable","VinylSd","Gtl"
140000,0,2,1921,11,12,1950,"2Story","Unf","BrkTil","Gable","Other","Gtl"
317000,0,3,2004,151,192,2005,"2Story","Unf","PConc","Gable","VinylSd","Gtl"
180000,912,2,1970,0,301,1989,"1Story","Unf","CBlock","Gable","Plywood","Gtl"
80000,0,1,1945,0,0,1950,"1Story","Unf","CBlock","Gable","MetalSd","Gtl"
225000,603,2,1953,21,0,1953,"1.5Fin","Unf","CBlock","Gable","BrkFace","Gtl"
244000,1880,2,1973,0,300,1973,"1Story","Unf","CBlock","Gable","Plywood","Gtl"
129500,565,2,1982,0,0,2006,"1Story","Unf","CBlock","Gable","HdBoard","Gtl"
185000,0,2,1998,94,0,1998,"2Story","Unf","PConc","Gable","VinylSd","Gtl"
107400,0,1,1915,0,0,1950,"2Story","Unf","CBlock","Other","VinylSd","Gtl"
91000,462,1,1973,101,120,1973,"SLvl","Unf","CBlock","Gable","CemntBd","Gtl"
135750,228,1,1956,0,0,1956,"1Story","Unf","CBlock","Gable","VinylSd","Gtl"
127000,336,1,1948,0,0,2001,"1.5Fin","Other","CBlock","Gable","Wd Sdng","Gtl"
110000,0,2,1910,0,74,1981,"2Story","Unf","PConc","Gable","Wd Sdng","Gtl"
153500,1201,2,1998,199,0,1998,"1Story","Unf","PConc","Hip","VinylSd","Gtl"
245000,33,3,2007,99,144,2007,"1Story","Unf","PConc","Gable","VinylSd","Gtl"
126500,0,2,1960,0,74,1960,"1Story","Unf","CBlock","Gable","MetalSd","Gtl"
168500,0,2,1995,72,120,1996,"SLvl","Unf","PConc","Gable","HdBoard","Gtl"
260000,0,2,1991,82,127,1992,"2Story","Unf","CBlock","Hip","HdBoard","Gtl"
174000,0,2,2005,38,100,2005,"2Story","Unf","PConc","Gable","VinylSd","Gtl"
109900,0,2,1950,29,0,1950,"1Story","Other","Other","Gable","BrkFace","Gtl"
98600,600,2,1961,0,0,1961,"1Story","Unf","CBlock","Hip","HdBoard","Gtl"
163500,713,2,1921,0,0,2006,"1Story","Unf","BrkTil","Gable","Wd Sdng","Gtl"
133900,1046,2,1910,0,0,1998,"Other","Unf","BrkTil","Hip","MetalSd","Gtl"
204750,648,2,1997,162,0,1997,"2Story","Unf","PConc","Gable","VinylSd","Gtl"
214000,1162,2,1999,29,158,1999,"1Story","Unf","PConc","Gable","VinylSd","Gtl"
83000,108,1,1920,0,0,1950,"1Story","Unf","BrkTil","Gable","Wd Sdng","Gtl"
205000,1200,2,1977,68,168,2001,"1Story","Unf","PConc","Gable","Plywood","Gtl"
178000,0,2,1985,46,192,1985,"2Story","Unf","CBlock","Gable","HdBoard","Gtl"
118964,0,2,1979,0,0,1979,"1Story","Other","Other","Gable","HdBoard","Gtl"
198900,0,3,2009,36,0,2009,"1Story","Unf","PConc","Gable","VinylSd","Gtl"
250000,0,2,2003,45,140,2004,"2Story","Unf","PConc","Hip","VinylSd","Gtl"
115000,104,1,1948,0,0,1950,"1Story","Other","CBlock","Gable","VinylSd","Gtl"
190000,705,2,1977,122,0,1977,"1Story","Unf","CBlock","Hip","Plywood","Gtl"
180000,250,2,2000,0,180,2000,"SLvl","Unf","PConc","Gable","VinylSd","Gtl"
383970,984,3,2007,184,120,2007,"2Story","Unf","PConc","Gable","VinylSd","Gtl"
217000,35,2,1953,120,166,1953,"1Story","Other","CBlock","Hip","Wd Sdng","Gtl"
176000,419,2,1999,32,0,1999,"2Story","Unf","PConc","Gable","MetalSd","Gtl"
139000,170,1,1962,20,0,1962,"1Story","Other","CBlock","Gable","Wd Sdng","Gtl"
155000,0,2,2006,64,80,2007,"1Story","Unf","PConc","Gable","VinylSd","Gtl"
320000,1470,3,1990,0,367,1990,"2Story","Unf","PConc","Hip","Plywood","Gtl"
163990,0,2,2005,24,0,2006,"2Story","Unf","PConc","Gable","VinylSd","Gtl"
1e+05,0,1,1939,0,0,1950,"1.5Fin","Unf","PConc","Gable","Other","Gtl"
136000,570,1,1958,0,0,1958,"1Story","Unf","CBlock","Hip","MetalSd","Gtl"
181000,0,2,1979,0,192,1998,"1Story","Unf","CBlock","Gable","HdBoard","Gtl"
128000,120,2,1976,205,0,1976,"1Story","Unf","CBlock","Gable","Plywood","Gtl"
150000,567,2,1958,80,0,1991,"1Story","Other","CBlock","Gable","Plywood","Gtl"
226000,445,2,1966,66,105,1966,"2Story","Unf","CBlock","Gable","MetalSd","Gtl"
244000,695,2,2000,48,24,2000,"2Story","Unf","PConc","Gable","VinylSd","Gtl"
150750,405,2,1959,0,0,2002,"1Story","Unf","CBlock","Gable","MetalSd","Gtl"
220000,1005,2,2001,25,192,2002,"1Story","Unf","PConc","Gable","VinylSd","Gtl"
180000,570,2,1968,96,0,1993,"1Story","Unf","CBlock","Gable","Plywood","Gtl"
174000,0,2,1970,0,98,1970,"1Story","Unf","PConc","Hip","Plywood","Gtl"
143000,695,1,1967,111,0,1967,"1Story","Unf","CBlock","Gable","MetalSd","Gtl"
171000,0,3,1988,0,0,1989,"1Story","Unf","CBlock","Gable","VinylSd","Gtl"
231500,821,2,1997,99,276,1997,"2Story","Unf","PConc","Gable","VinylSd","Gtl"
260000,1300,2,2005,24,160,2005,"1Story","Unf","PConc","Gable","VinylSd","Gtl"
130000,0,2,2004,40,0,2006,"2Story","Unf","PConc","Gable","VinylSd","Gtl"
105000,209,1,1931,0,48,1993,"1Story","Unf","BrkTil","Gable","Wd Sdng","Gtl"
222500,0,2,2001,48,144,2001,"2Story","Unf","PConc","Gable","VinylSd","Gtl"
115000,0,1,1936,114,200,1950,"1.5Fin","Unf","BrkTil","Gable","MetalSd","Gtl"
122000,716,2,1975,0,0,1975,"1Story","Unf","CBlock","Gable","HdBoard","Gtl"
372402,1400,3,2007,102,0,2008,"1Story","Unf","PConc","Hip","VinylSd","Gtl"
190000,416,2,1971,66,0,1971,"2Story","Unf","CBlock","Gable","HdBoard","Gtl"
235000,429,2,1960,0,409,1975,"1Story","Other","CBlock","Other","BrkFace","Gtl"
125000,0,1,1923,0,0,1950,"1Story","Unf","BrkTil","Gable","Wd Sdng","Gtl"
269500,0,3,2009,75,0,2010,"2Story","Unf","PConc","Gable","VinylSd","Gtl"
